,Distribution,WMW-N5,T-N5,WMW-N8,T-N8,WMW-N10,T-N10,WMW-N15,T-N15,WMW-N20,T-N20
1,Normal,0.05197,0.03115,0.20744,0.21386,0.17624,0.20787,0.22961,0.24669,0.35554,0.33781
2,Exponential,0.03199,0.00685,0.09185,0.0608,0.06748,0.20227,0.07888,0.27766,0.12933,0.36021
3,Cauchy,0.0277,0.00615,0.07631,0.02755,0.07279,0.04339,0.08422,0.0429,0.12794,0.05058
4,LaPlace,0.04348,0.02008,0.15924,0.13652,0.13798,0.15303,0.1715,0.17901,0.26681,0.24072
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,0.35554,0.33781,,,,,,,,
,,0.12933,0.36021,,,,,,,,
,,0.12794,0.05058,,,,,,,,
,,0.26681,0.24072,,,,,,,,